TIME(MS),COMMAND,VALUE, WORD
72693, 8, 1, 9Year
75250, 1, 0, 9Year
75250, 2, 0, 9Year
75250, 3, 0, 9Year
75250, 4, 0, 9Year
75250, 5, 0, 9Year
75250, 6, 0, 9Year
75250, 7, 0, 9Year
75250, 8, 0, 9Year
76000, 1, 0, END
76000, 2, 0, END
76000, 3, 0, END
76000, 4, 0, END
76000, 5, 0, END
76000, 6, 0, END
76000, 7, 0, END
76000, 8, 0, END
76000, 99, 1, END
