TIME(MS),COMMAND,VALUE, WORD
18718, 8, 0, 9Christmas
19144, 1, 1, 1and
19215, 1, 0, 1and
19294, 1, 1, 1when
19357, 1, 0, 1when
19441, 1, 1, 1you
19586, 1, 0, 1you
19760, 1, 1, 1walk
19889, 1, 0, 1walk
20093, 1, 1, 1down
20233, 1, 0, 1down
20412, 1, 1, 1the
20500, 1, 0, 1the
20690, 1, 1, 1street
20910, 1, 0, 1street
21984, 1, 1, 1say
22180, 1, 0, 1say
22302, 1, 1, 1hel
22415, 1, 0, 1hel
22626, 1, 1, 1lo
22804, 1, 0, 1lo
23134, 1, 1, 1to
23214, 1, 0, 1to
23281, 1, 1, 1friends
23429, 1, 0, 1friends
23582, 1, 1, 1you
23672, 1, 0, 1you
23918, 1, 1, 1know
24120, 1, 0, 1know
24488, 1, 1, 1and ev
24652, 1, 0, 1and ev
24902, 1, 1, 1ery
25045, 1, 0, 1ery
25199, 1, 1, 1one
25320, 1, 0, 1one
25445, 1, 1, 1you
25648, 1, 0, 1you
25815, 1, 1, 1meet
26046, 1, 0, 1meet
27139, 1, 1, 1ho
27139, 1, 1, 2OooooooOoo
27139, 2, 1, 2OooooooOoo
27139, 3, 1, 2OooooooOoo
27139, 4, 1, 2OooooooOoo
27139, 5, 1, 2OooooooOoo
27139, 6, 1, 2OooooooOoo
27139, 7, 1, 2OooooooOoo
27416, 1, 0, 1ho
27761, 1, 0, 2OooooooOoo
27761, 2, 0, 2OooooooOoo
27761, 3, 0, 2OooooooOoo
27761, 4, 0, 2OooooooOoo
27761, 5, 0, 2OooooooOoo
27761, 6, 0, 2OooooooOoo
27761, 7, 0, 2OooooooOoo
27784, 1, 1, 1ho
27784, 1, 1, 2OooooooOoo
27784, 2, 1, 2OooooooOoo
27784, 3, 1, 2OooooooOoo
27784, 4, 1, 2OooooooOoo
27784, 5, 1, 2OooooooOoo
27784, 6, 1, 2OooooooOoo
27784, 7, 1, 2OooooooOoo
27973, 1, 0, 1ho
28228, 1, 1, 1the
28345, 1, 0, 1the
28387, 1, 1, 1mis
28398, 1, 0, 2OooooooOoo
28398, 2, 0, 2OooooooOoo
28398, 3, 0, 2OooooooOoo
28398, 4, 0, 2OooooooOoo
28398, 5, 0, 2OooooooOoo
28398, 6, 0, 2OooooooOoo
28398, 7, 0, 2OooooooOoo
28413, 1, 1, 2OooooooOoo
28413, 2, 1, 2OooooooOoo
28413, 3, 1, 2OooooooOoo
28413, 4, 1, 2OooooooOoo
28413, 5, 1, 2OooooooOoo
28413, 6, 1, 2OooooooOoo
28413, 7, 1, 2OooooooOoo
28493, 1, 0, 1mis
28676, 1, 1, 1tle
28898, 1, 0, 1tle
28947, 1, 0, 2OooooooOoo
28947, 2, 0, 2OooooooOoo
28947, 3, 0, 2OooooooOoo
28947, 4, 0, 2OooooooOoo
28947, 5, 0, 2OooooooOoo
28947, 6, 0, 2OooooooOoo
28947, 7, 0, 2OooooooOoo
28984, 1, 1, 2OooooooOoo
28984, 2, 1, 2OooooooOoo
28984, 3, 1, 2OooooooOoo
28984, 4, 1, 2OooooooOoo
28984, 5, 1, 2OooooooOoo
28984, 6, 1, 2OooooooOoo
28984, 7, 1, 2OooooooOoo
29012, 1, 1, 1toe
29321, 1, 0, 1toe
29645, 1, 1, 1hung
29705, 1, 0, 2OooooooOoo
29705, 2, 0, 2OooooooOoo
29705, 3, 0, 2OooooooOoo
29705, 4, 0, 2OooooooOoo
29705, 5, 0, 2OooooooOoo
29705, 6, 0, 2OooooooOoo
29705, 7, 0, 2OooooooOoo
29747, 1, 1, 2OooooooOoo
29747, 2, 1, 2OooooooOoo
29747, 3, 1, 2OooooooOoo
29747, 4, 1, 2OooooooOoo
29747, 5, 1, 2OooooooOoo
29747, 6, 1, 2OooooooOoo
29747, 7, 1, 2OooooooOoo
29764, 1, 0, 1hung
29956, 1, 1, 1where
30084, 1, 0, 1where
30275, 1, 1, 1you
30429, 1, 0, 1you
30576, 1, 1, 1can
30714, 1, 0, 1can
30929, 1, 1, 1see
31191, 1, 0, 2OooooooOoo
31191, 2, 0, 2OooooooOoo
31191, 3, 0, 2OooooooOoo
31191, 4, 0, 2OooooooOoo
31191, 5, 0, 2OooooooOoo
31191, 6, 0, 2OooooooOoo
31191, 7, 0, 2OooooooOoo
31225, 1, 0, 1see
32285, 1, 1, 1some
32516, 1, 0, 1some
32934, 1, 1, 1body
33449, 1, 0, 1body
33548, 1, 1, 1waits
33668, 1, 0, 1waits
33889, 1, 1, 1for
33952, 1, 0, 1for
34160, 1, 1, 1you
34410, 1, 0, 1you
34891, 1, 1, 1kiss
34948, 1, 0, 1kiss
35072, 1, 1, 1her
35348, 1, 0, 1her
35581, 1, 1, 1once
35682, 1, 0, 1once
35898, 1, 1, 1for
36125, 1, 0, 1for
