TIME(MS),COMMAND,VALUE
 000140 ,1      ,1
 000528 ,1      ,0
 000528 ,2      ,1
 001350 ,2      ,0
 001350 ,3      ,1
 002215 ,3      ,0
 002215 ,4      ,1
 003015 ,4      ,0
 003015 ,5      ,1
 004120 ,5      ,0
 004120 ,6      ,1
 004995 ,6      ,0
 004995 ,7      ,1
 005496 ,7      ,0
 005496 ,8      ,1
 009000 ,END    ,1

